X_(px),Y_deviation_(px)
707.000,-48.948
708.000,-48.948
709.000,-48.948
710.000,-48.948
711.000,-48.948
712.000,-48.948
712.707,-49.655
713.414,-50.362
714.121,-51.070
714.828,-51.777
715.536,-52.484
716.421,-52.948
717.421,-52.948
718.421,-52.948
719.421,-52.948
720.421,-52.948
721.421,-52.948
722.421,-52.948
723.421,-52.948
724.421,-52.948
725.421,-52.948
726.421,-52.948
727.421,-52.948
728.421,-52.948
729.421,-52.948
730.421,-52.948
731.421,-52.948
732.000,-53.764
732.000,-54.764
732.000,-55.764
732.000,-56.764
732.983,-56.948
733.983,-56.948
734.983,-56.948
735.983,-56.948
736.000,-57.948
736.000,-58.948
736.000,-59.948
736.000,-60.948
737.000,-60.948
738.000,-60.948
739.000,-60.948
740.000,-60.948
741.000,-60.948
742.000,-60.948
743.000,-60.948
744.000,-60.948
745.000,-60.948
746.000,-60.948
747.000,-60.948
748.000,-60.948
749.000,-60.948
750.000,-60.948
751.000,-60.948
752.000,-60.948
752.000,-59.948
752.000,-58.948
752.000,-57.948
752.000,-56.948
752.000,-55.948
752.000,-54.948
752.000,-53.948
752.000,-52.948
752.707,-52.241
753.414,-51.534
754.121,-50.827
754.828,-50.120
755.536,-49.413
756.000,-48.527
756.000,-47.527
756.000,-46.527
756.000,-45.527
756.815,-44.948
757.815,-44.948
758.815,-44.948
759.815,-44.948
760.000,-43.965
760.000,-42.965
760.000,-41.965
760.000,-40.965
761.000,-40.948
762.000,-40.948
763.000,-40.948
764.000,-40.948
764.000,-39.948
764.000,-38.948
764.000,-37.948
764.000,-36.948
765.000,-36.948
766.000,-36.948
767.000,-36.948
768.000,-36.948
768.000,-35.948
768.000,-34.948
768.000,-33.948
768.000,-32.948
768.000,-31.948
768.000,-30.948
768.000,-29.948
768.000,-28.948
769.000,-28.948
770.000,-28.948
771.000,-28.948
772.000,-28.948
773.000,-28.948
774.000,-28.948
775.000,-28.948
776.000,-28.948
777.000,-28.948
778.000,-28.948
779.000,-28.948
780.000,-28.948
781.000,-28.948
782.000,-28.948
783.000,-28.948
784.000,-28.948
785.000,-28.948
786.000,-28.948
787.000,-28.948
788.000,-28.948
788.000,-27.948
788.000,-26.948
788.000,-25.948
788.000,-24.948
789.000,-24.948
790.000,-24.948
791.000,-24.948
792.000,-24.948
793.000,-24.948
794.000,-24.948
795.000,-24.948
796.000,-24.948
796.000,-23.948
796.000,-22.948
796.000,-21.948
796.000,-20.948
797.000,-20.948
798.000,-20.948
799.000,-20.948
800.000,-20.948
801.000,-20.948
802.000,-20.948
803.000,-20.948
804.000,-20.948
805.000,-20.948
806.000,-20.948
807.000,-20.948
808.000,-20.948
809.000,-20.948
810.000,-20.948
811.000,-20.948
812.000,-20.948
812.000,-19.948
812.000,-18.948
812.000,-17.948
812.000,-16.948
813.000,-16.948
814.000,-16.948
815.000,-16.948
816.000,-16.948
817.000,-16.948
818.000,-16.948
819.000,-16.948
820.000,-16.948
821.000,-16.948
822.000,-16.948
823.000,-16.948
824.000,-16.948
825.000,-16.948
826.000,-16.948
827.000,-16.948
828.000,-16.948
829.000,-16.948
830.000,-16.948
831.000,-16.948
832.000,-16.948
832.000,-15.948
832.000,-14.948
832.000,-13.948
832.000,-12.948
833.000,-12.948
834.000,-12.948
835.000,-12.948
836.000,-12.948
837.000,-12.948
838.000,-12.948
839.000,-12.948
840.000,-12.948
841.000,-12.948
842.000,-12.948
843.000,-12.948
844.000,-12.948
845.000,-12.948
846.000,-12.948
847.000,-12.948
848.000,-12.948
849.000,-12.948
850.000,-12.948
851.000,-12.948
852.000,-12.948
852.707,-12.241
853.414,-11.534
854.121,-10.827
854.828,-10.120
855.536,-9.413
856.421,-8.948
857.421,-8.948
858.421,-8.948
859.421,-8.948
860.356,-8.592
861.063,-7.885
861.770,-7.178
862.477,-6.471
863.184,-5.764
863.891,-5.057
864.885,-4.948
865.885,-4.948
866.885,-4.948
867.885,-4.948
868.885,-4.948
869.885,-4.948
870.885,-4.948
871.885,-4.948
872.885,-4.948
873.885,-4.948
874.885,-4.948
875.885,-4.948
876.885,-4.948
877.885,-4.948
878.885,-4.948
879.885,-4.948
880.885,-4.948
881.885,-4.948
882.885,-4.948
883.885,-4.948
884.885,-4.948
885.885,-4.948
886.885,-4.948
887.885,-4.948
888.885,-4.948
889.885,-4.948
890.885,-4.948
891.885,-4.948
892.885,-4.948
893.885,-4.948
894.885,-4.948
895.885,-4.948
896.885,-4.948
897.885,-4.948
898.885,-4.948
899.885,-4.948
900.885,-4.948
901.885,-4.948
902.885,-4.948
903.885,-4.948
904.885,-4.948
905.885,-4.948
906.885,-4.948
907.885,-4.948
908.000,-3.955
908.000,-2.955
908.000,-1.955
908.000,-0.955
909.000,-0.948
910.000,-0.948
911.000,-0.948
912.000,-0.948
913.000,-0.948
914.000,-0.948
915.000,-0.948
916.000,-0.948
917.000,-0.948
918.000,-0.948
919.000,-0.948
920.000,-0.948
921.000,-0.948
922.000,-0.948
923.000,-0.948
924.000,-0.948
925.000,-0.948
926.000,-0.948
927.000,-0.948
928.000,-0.948
929.000,-0.948
930.000,-0.948
931.000,-0.948
932.000,-0.948
933.000,-0.948
934.000,-0.948
935.000,-0.948
936.000,-0.948
936.000,0.052
936.000,1.052
936.000,2.052
936.000,3.052
937.000,3.052
938.000,3.052
939.000,3.052
940.000,3.052
941.000,3.052
942.000,3.052
943.000,3.052
944.000,3.052
945.000,3.052
946.000,3.052
947.000,3.052
948.000,3.052
949.000,3.052
950.000,3.052
951.000,3.052
952.000,3.052
953.000,3.052
954.000,3.052
955.000,3.052
956.000,3.052
956.000,2.052
956.000,1.052
956.000,0.052
956.000,-0.948
957.000,-0.948
958.000,-0.948
959.000,-0.948
960.000,-0.948
961.000,-0.948
962.000,-0.948
963.000,-0.948
964.000,-0.948
964.000,-1.948
964.000,-2.948
964.000,-3.948
964.000,-4.948
965.000,-4.948
966.000,-4.948
967.000,-4.948
968.000,-4.948
968.707,-5.655
969.414,-6.362
970.121,-7.070
970.828,-7.777
971.536,-8.484
972.421,-8.948
973.421,-8.948
974.421,-8.948
975.421,-8.948
976.356,-9.304
977.063,-10.011
977.770,-10.718
978.477,-11.425
979.184,-12.132
979.891,-12.839
980.885,-12.948
981.885,-12.948
982.885,-12.948
983.885,-12.948
984.885,-12.948
985.885,-12.948
986.885,-12.948
987.885,-12.948
988.000,-11.955
988.000,-10.955
988.000,-9.955
988.000,-8.955
988.704,-8.244
989.411,-7.537
990.118,-6.830
990.825,-6.123
991.532,-5.416
992.416,-4.948
993.416,-4.948
994.416,-4.948
995.416,-4.948
996.416,-4.948
997.416,-4.948
998.416,-4.948
999.416,-4.948
1000.416,-4.948
1001.416,-4.948
1002.416,-4.948
1003.416,-4.948
1004.000,-4.136
1004.000,-3.136
1004.000,-2.136
1004.000,-1.136
1004.982,-0.948
1005.982,-0.948
1006.982,-0.948
1007.982,-0.948
1008.982,-0.948
1009.982,-0.948
1010.982,-0.948
1011.982,-0.948
1012.000,0.052
1012.000,1.052
1012.000,2.052
1012.000,3.052
1013.000,3.052
1014.000,3.052
1015.000,3.052
1016.000,3.052
1016.000,4.052
1016.000,5.052
1016.000,6.052
1016.000,7.052
1016.000,8.052
1016.000,9.052
1016.000,10.052
1016.000,11.052
1017.000,11.052
1018.000,11.052
1019.000,11.052
1020.000,11.052
1021.000,11.052
1022.000,11.052
1023.000,11.052
1024.000,11.052
1025.000,11.052
1026.000,11.052
1027.000,11.052
1028.000,11.052
1029.000,11.052
1030.000,11.052
1031.000,11.052
1032.000,11.052
1033.000,11.052
1034.000,11.052
1035.000,11.052
1036.000,11.052
1037.000,11.052
1038.000,11.052
1039.000,11.052
1040.000,11.052
1041.000,11.052
1042.000,11.052
1043.000,11.052
1044.000,11.052
1045.000,11.052
1046.000,11.052
1047.000,11.052
1048.000,11.052
1048.000,10.052
1048.000,9.052
1048.000,8.052
1048.000,7.052
1049.000,7.052
1050.000,7.052
1051.000,7.052
1052.000,7.052
1053.000,7.052
1054.000,7.052
1055.000,7.052
1056.000,7.052
1057.000,7.052
1058.000,7.052
1059.000,7.052
1060.000,7.052
1061.000,7.052
1062.000,7.052
