Reduc.:Si Powder-Reduc.,,Silicon,,
2θ - °,Intensity - cps,2θ - °,Y,Intensity - cps
8.1899995803833,149.160049438477,,,
8.19999980926514,150.305084228516,,,
8.21000003814697,151.427429199219,,,
8.22000026702881,152.526443481445,,,
8.22999954223633,153.601501464844,,,
8.23999977111816,154.651962280273,,,
8.25,155.677200317383,,,
8.26000022888184,156.67658996582,,,
8.27000045776367,157.649490356445,,,
8.27999973297119,158.595260620117,,,
8.28999996185303,159.513305664063,,,
8.30000019073486,160.402969360352,,,
8.3100004196167,161.263610839844,,,
8.31999969482422,162.094619750977,,,
8.32999992370605,162.895355224609,,,
8.34000015258789,163.665191650391,,,
8.35000038146973,164.40348815918,,,
8.35999965667725,165.109603881836,,,
8.36999988555908,165.782943725586,,,
8.38000011444092,166.4228515625,,,
8.39000034332275,167.028686523438,,,
8.39999961853027,167.599838256836,,,
8.40999984741211,168.135665893555,,,
8.42000007629395,168.635543823242,,,
8.43000030517578,169.098831176758,,,
8.4399995803833,169.52490234375,,,
8.44999980926514,169.913131713867,,,
8.46000003814697,170.262878417969,,,
8.47000026702881,170.573516845703,,,
8.47999954223633,170.84440612793,,,
8.48999977111816,171.074920654297,,,
8.5,171.264434814453,,,
8.51000022888184,171.412322998047,,,
8.52000045776367,171.517929077148,,,
8.52999973297119,171.580657958984,,,
8.53999996185303,171.599838256836,,,
8.55000019073486,171.574859619141,,,
8.5600004196167,171.505096435547,,,
8.56999969482422,171.389907836914,,,
8.57999992370605,171.228668212891,,,
8.59000015258789,171.020736694336,,,
8.60000038146973,170.765487670898,,,
8.60999965667725,170.462295532227,,,
8.61999988555908,170.11051940918,,,
8.63000011444092,169.709533691406,,,
8.64000034332275,169.258712768555,,,
8.64999961853027,168.757415771484,,,
8.65999984741211,168.205001831055,,,
8.67000007629395,167.600860595703,,,
8.68000030517578,166.944366455078,,,
8.6899995803833,166.234848022461,,,
8.69999980926514,165.471710205078,,,
8.71000003814697,164.654312133789,,,
8.72000026702881,163.782028198242,,,
8.72999954223633,162.854217529297,,,
8.73999977111816,161.870254516602,,,
8.75,160.829498291016,,,
8.76000022888184,159.731323242188,,,
8.77000045776367,158.575103759766,,,
8.77999973297119,157.360198974609,,,
8.78999996185303,156.085998535156,,,
8.80000019073486,154.751831054688,,,
8.8100004196167,153.357116699219,,,
8.81999969482422,151.901168823242,,,
8.82999992370605,150.383407592773,,,
8.84000015258789,148.803176879883,,,
8.85000038146973,147.15983581543,,,
8.85999965667725,145.452774047852,,,
8.86999988555908,143.681335449219,,,
8.88000011444092,141.844924926758,,,
8.89000034332275,139.94287109375,,,
8.89999961853027,137.974578857422,,,
8.90999984741211,135.939392089844,,,
8.92000007629395,133.836685180664,,,
8.93000030517578,131.665832519531,,,
8.9399995803833,129.426193237305,,,
8.94999980926514,127.117156982422,,,
8.96000003814697,124.738067626953,,,
8.97000026702881,122.456672668457,,,
8.97999954223633,120.482330322266,,,
8.98999977111816,118.870094299316,,,
9,117.66520690918,,,
9.01000022888184,116.901969909668,,,
9.02000045776367,116.602661132813,,,
9.02999973297119,116.776359558105,,,
9.03999996185303,117.417816162109,,,
9.05000019073486,118.506217956543,,,
9.0600004196167,120.003974914551,,,
9.06999969482422,121.855506896973,,,
9.07999992370605,123.985931396484,,,
9.09000015258789,126.299789428711,,,
9.10000038146973,128.679718017578,,,
9.10999965667725,130.985107421875,,,
9.11999988555908,133.050720214844,,,
9.13000011444092,134.685287475586,,,
9.14000034332275,135.670120239258,,,
9.14999961853027,135.757598876953,,,
9.15999984741211,135.304809570313,,,
9.17000007629395,134.849029541016,,,
9.18000030517578,134.390365600586,,,
9.1899995803833,133.928894042969,,,
9.19999980926514,133.464721679688,,,
9.21000003814697,132.997955322266,,,
9.22000026702881,132.528671264648,,,
9.22999954223633,132.056976318359,,,
9.23999977111816,131.582977294922,,,
9.25,131.106750488281,,,
9.26000022888184,130.628402709961,,,
9.27000045776367,130.148040771484,,,
9.27999973297119,129.665756225586,,,
9.28999996185303,129.181625366211,,,
9.30000019073486,128.695785522461,,,
9.3100004196167,128.208297729492,,,
9.31999969482422,127.719268798828,,,
9.32999992370605,127.228797912598,,,
9.34000015258789,126.73698425293,,,
9.35000038146973,126.243927001953,,,
9.35999965667725,125.749717712402,,,
9.36999988555908,125.254447937012,,,
9.38000011444092,124.758232116699,,,
9.39000034332275,124.26114654541,,,
9.39999961853027,123.763305664063,,,
9.40999984741211,123.264793395996,,,
9.42000007629395,122.765716552734,,,
9.43000030517578,122.266159057617,,,
9.4399995803833,121.766235351563,,,
9.44999980926514,121.26602935791,,,
9.46000003814697,120.765640258789,,,
9.47000026702881,120.265167236328,,,
9.47999954223633,119.764701843262,,,
9.48999977111816,119.264350891113,,,
9.5,118.764205932617,,,
9.51000022888184,118.264366149902,,,
9.52000045776367,117.764923095703,,,
9.52999973297119,117.265975952148,,,
9.53999996185303,116.767623901367,,,
9.55000019073486,116.269958496094,,,
9.5600004196167,115.773086547852,,,
9.56999969482422,115.277099609375,,,
9.57999992370605,114.782089233398,,,
9.59000015258789,114.288154602051,,,
9.60000038146973,113.795402526855,,,
9.60999965667725,113.303916931152,,,
9.61999988555908,112.813804626465,,,
9.63000011444092,112.325157165527,,,
9.64000034332275,111.838066101074,,,
9.64999961853027,111.352638244629,,,
9.65999984741211,110.86897277832,,,
9.67000007629395,110.387153625488,,,
9.68000030517578,109.907287597656,,,
9.6899995803833,109.429466247559,,,
9.69999980926514,108.953788757324,,,
9.71000003814697,108.480354309082,,,
9.72000026702881,108.009262084961,,,
9.72999954223633,107.540603637695,,,
9.73999977111816,107.07447052002,,,
9.75,106.610969543457,,,
9.76000022888184,106.150192260742,,,
9.77000045776367,105.692245483398,,,
9.77999973297119,105.237205505371,,,
9.78999996185303,104.785194396973,,,
9.80000019073486,104.336288452148,,,
9.8100004196167,103.890594482422,,,
9.81999969482422,103.448204040527,,,
9.82999992370605,103.009223937988,,,
9.84000015258789,102.573745727539,,,
9.85000038146973,102.141860961914,,,
9.85999965667725,101.713668823242,,,
9.86999988555908,101.289268493652,,,
9.88000011444092,100.868759155273,,,
9.89000034332275,100.452239990234,,,
9.89999961853027,100.039794921875,,,
9.90999984741211,99.6315307617188,,,
9.92000007629395,99.2275466918945,,,
9.93000030517578,98.8279342651367,,,
9.9399995803833,98.4327926635742,,,
9.94999980926514,98.0422134399414,,,
9.96000003814697,97.6563034057617,,,
9.97000026702881,97.275146484375,,,
9.97999954223633,96.8988571166992,,,
9.98999977111816,96.5275192260742,,,
10,96.1612243652344,,,
10.0100002288818,95.8000869750977,,,
10.0200004577637,95.4441909790039,,,
10.0299997329712,95.093635559082,,,
10.039999961853,94.7485275268555,,,
10.0500001907349,94.4089431762695,,,
10.0600004196167,94.0750045776367,,,
10.0699996948242,93.7467880249023,,,
10.0799999237061,93.4244003295898,,,
10.0900001525879,93.1079330444336,,,
10.1000003814697,92.7974853515625,,,
10.1099996566772,92.4931564331055,,,
10.1199998855591,92.1950454711914,,,
10.1300001144409,91.9032440185547,,,
10.1400003433228,91.6178512573242,,,
10.1499996185303,91.3389587402344,,,
10.1599998474121,91.0666732788086,,,
10.1700000762939,90.8010864257813,,,
10.1800003051758,90.5422973632813,,,
10.1899995803833,90.290397644043,,,
10.1999998092651,90.0454864501953,,,
10.210000038147,89.8076629638672,,,
10.2200002670288,89.577018737793,,,
10.2299995422363,89.3536605834961,,,
10.2399997711182,89.1376800537109,,,
10.25,88.9291687011719,,,
10.2600002288818,88.7282333374023,,,
10.2700004577637,88.5349655151367,,,
10.2799997329712,88.3494567871094,,,
10.289999961853,88.1718139648438,,,
10.3000001907349,88.0021286010742,,,
10.3100004196167,87.8404998779297,,,
10.3199996948242,87.6870269775391,,,
10.3299999237061,87.5417938232422,,,
