Engineering Strain 1,Engineering Stress 1 (MPa),Displacement (mm),Force (N),Engineering Strain 2,Engineering Stress 2 (MPa)
,,1.696,8731.878,0.06661429694,973.4535117
,,1.695,8734.283,0.06657501964,973.7216276
,,1.705,8735.452,0.06696779262,973.8519509
,,1.714,8736.933,0.0673212883,974.0170569
,,1.717,8738.672,0.06743912019,974.2109253
,,1.729,8739.607,0.06791044776,974.3151616
,,1.735,8740.198,0.06814611155,974.3810479
,,1.741,8740.517,0.06838177533,974.4166109
,,1.757,8742.755,0.0690102121,974.6661093
,,1.760,8743.446,0.06912804399,974.7431438
,,1.772,8745.932,0.06959937156,975.0202899
,,1.784,8747.043,0.07007069914,975.1441472
,,1.784,8747.976,0.07007069914,975.2481605
,,1.794,8748.265,0.07046347211,975.280379
,,1.806,8748.927,0.07093479969,975.3541806
,,1.812,8751.288,0.07117046347,975.6173913
,,1.824,8750.373,0.07164179104,975.5153846
,,1.833,8751.217,0.07199528672,975.609476
,,1.839,8752.936,0.07223095051,975.8011148
,,1.851,8754.420,0.07270227808,975.9665552
,,1.861,8756.129,0.07309505106,976.1570792
,,1.864,8756.715,0.07321288295,976.222408
,,1.879,8757.126,0.07380204242,976.2682274
,,1.882,8757.099,0.07391987431,976.2652174
,,1.892,8758.451,0.07431264729,976.415942
,,1.909,8759.383,0.07498036135,976.5198439
,,1.912,8760.364,0.07509819324,976.6292085
,,1.921,8760.848,0.07545168892,976.6831661
,,1.933,8762.906,0.0759230165,976.9125975
,,1.940,8762.648,0.07619795758,976.883835
,,1.952,8762.077,0.07666928515,976.8201784
,,1.962,8764.246,0.07706205813,977.0619844
,,1.967,8764.356,0.07725844462,977.0742475
,,1.977,8765.130,0.0776512176,977.1605351
,,1.986,8765.898,0.07800471328,977.2461538
,,1.998,8767.130,0.07847604085,977.3835006
,,2.004,8767.676,0.07871170463,977.4443701
,,2.010,8767.458,0.07894736842,977.4200669
,,2.025,8769.093,0.07953652789,977.6023411
,,2.031,8769.246,0.07977219167,977.619398
,,2.041,8769.742,0.08016496465,977.6746934
,,2.049,8771.401,0.08047918303,977.8596433
,,2.059,8771.367,0.08087195601,977.8558528
,,2.071,8771.242,0.08134328358,977.8419175
,,2.077,8772.322,0.08157894737,977.9623188
,,2.083,8772.535,0.08181461115,977.9860647
,,2.099,8772.425,0.08244304792,977.9738016
,,2.107,8773.500,0.0827572663,978.0936455
,,2.111,8774.169,0.08291437549,978.1682274
,,2.126,8774.894,0.08350353496,978.2490524
,,2.129,8774.604,0.08362136685,978.2167224
,,2.139,8775.964,0.08401413983,978.3683389
,,2.153,8776.155,0.084564022,978.3896321
,,2.154,8775.880,0.08460329929,978.3589744
,,2.166,8777.069,0.08507462687,978.4915273
,,2.178,8777.381,0.08554595444,978.5263099
,,2.179,8777.473,0.08558523174,978.5365663
,,2.196,8777.665,0.0862529458,978.557971
,,2.200,8777.586,0.08641005499,978.5491639
,,2.209,8777.470,0.08676355067,978.5362319
,,2.226,8778.980,0.08743126473,978.7045708
,,2.230,8779.940,0.08758837392,978.8115942
,,2.236,8779.110,0.08782403771,978.7190635
,,2.245,8779.216,0.08817753339,978.7308807
,,2.257,8779.725,0.08864886096,978.7876254
,,2.272,8780.414,0.08923802042,978.864437
,,2.273,8780.520,0.08927729772,978.8762542
,,2.282,8781.447,0.0896307934,978.9795987
,,2.294,8781.669,0.09010212097,979.0043478
,,2.303,8780.958,0.09045561665,978.9250836
,,2.312,8782.356,0.09080911233,979.0809365
,,2.324,8781.623,0.09128043991,978.9992196
,,2.328,8782.357,0.0914375491,979.0810479
,,2.340,8782.465,0.09190887667,979.0930881
,,2.349,8782.794,0.09226237235,979.1297659
,,2.358,8783.380,0.09261586803,979.1950948
,,2.367,8783.151,0.09296936371,979.1695652
,,2.373,8783.030,0.09320502749,979.1560758
,,2.382,8782.359,0.09355852317,979.0812709
,,2.394,8782.922,0.09402985075,979.1440357
,,2.403,8783.678,0.09438334643,979.2283166
,,2.412,8784.000,0.09473684211,979.264214
,,2.422,8784.358,0.09512961508,979.3041249
,,2.425,8783.732,0.09524744698,979.2343367
,,2.439,8783.938,0.09579732914,979.2573021
,,2.449,8783.042,0.09619010212,979.1574136
,,2.458,8783.545,0.0965435978,979.2134894
,,2.467,8783.096,0.09689709348,979.1634337
,,2.473,8783.944,0.09713275727,979.257971
,,2.489,8784.130,0.09776119403,979.2787068
,,2.498,8783.956,0.09811468971,979.2593088
,,2.504,8783.466,0.0983503535,979.2046823
,,2.516,8783.223,0.09882168107,979.177592
,,2.522,8783.510,0.09905734485,979.2095875
,,2.534,8782.986,0.09952867243,979.1511706
,,2.546,8783.165,0.1,979.171126
,,2.549,8783.581,0.1001178319,979.2175028
,,2.561,8783.252,0.1005891595,979.180825
,,2.574,8783.403,0.1010997643,979.1976589
,,2.577,8783.315,0.1012175962,979.1878484
,,2.592,8782.678,0.1018067557,979.1168339
,,2.598,8782.249,0.1020424195,979.0690078
,,2.611,8782.853,0.1025530244,979.1363434
,,2.619,8781.910,0.1028672427,979.0312152
,,2.626,8781.940,0.1031421838,979.0345596
,,2.641,8781.963,0.1037313433,979.0371237
,,2.647,8781.766,0.1039670071,979.0151616
,,2.656,8781.422,0.1043205027,978.9768116
,,2.668,8780.271,0.1047918303,978.848495
,,2.674,8781.600,0.1050274941,978.9966555
,,2.687,8779.755,0.105538099,978.7909699
,,2.699,8779.803,0.1060094266,978.7963211
,,2.701,8780.606,0.1060879811,978.8858417
,,2.717,8780.334,0.1067164179,978.8555184
,,2.724,8780.535,0.106991359,978.8779264
,,2.732,8780.249,0.1073055774,978.8460424
,,2.744,8779.732,0.1077769049,978.7884058
,,2.747,8778.428,0.1078947368,978.6430323
,,2.762,8778.536,0.1084838963,978.6550725
,,2.771,8778.794,0.108837392,978.683835
,,2.781,8778.490,0.109230165,978.6499443
,,2.790,8778.073,0.1095836606,978.603456
,,2.796,8778.232,0.1098193244,978.6211817
,,2.811,8776.763,0.1104084839,978.4574136
,,2.820,8775.676,0.1107619796,978.3362319
,,2.825,8776.097,0.1109583661,978.3831661
,,2.836,8774.343,0.1113904163,978.1876254
,,2.851,8774.301,0.1119795758,978.1829431
,,2.855,8774.424,0.112136685,978.1966555
,,2.865,8774.243,0.112529458,978.1764771
,,2.875,8773.561,0.112922231,978.1004459
,,2.890,8772.467,0.1135113904,977.9784838
,,2.896,8772.197,0.1137470542,977.9483835
,,2.905,8771.593,0.1141005499,977.8810479
,,2.920,8771.724,0.1146897093,977.8956522
,,2.925,8770.994,0.1148860958,977.8142698
,,2.935,8770.767,0.1152788688,977.7889632
,,2.944,8769.423,0.1156323645,977.6391304
,,2.952,8769.084,0.1159465829,977.6013378
,,2.965,8768.141,0.1164571877,977.4962096
,,2.975,8768.030,0.1168499607,977.483835
,,2.981,8767.682,0.1170856245,977.445039
,,2.996,8765.969,0.117674784,977.2540691
,,3.004,8765.546,0.1179890024,977.2069119
,,3.016,8765.158,0.1184603299,977.1636566
,,3.024,8764.336,0.1187745483,977.0720178
,,3.029,8764.283,0.1189709348,977.0661093
,,3.045,8762.602,0.1195993716,976.8787068
,,3.051,8760.985,0.1198350353,976.6984392
,,3.064,8760.766,0.1203456402,976.6740245
,,3.072,8760.057,0.1206598586,976.5949833
,,3.082,8758.080,0.1210526316,976.3745819
,,3.094,8757.478,0.1215239592,976.3074693
,,3.102,8756.474,0.1218381775,976.1955407
,,3.112,8756.430,0.1222309505,976.1906355
