Total velocity (m/s),Drag coefficient 
533.179,0.676
533.296,0.676
533.413,0.676
533.53,0.676
533.647,0.676
533.764,0.675
533.881,0.675
533.998,0.675
534.115,0.675
534.232,0.675
534.349,0.675
534.466,0.675
534.582,0.675
534.699,0.675
534.816,0.675
534.933,0.675
535.05,0.674
535.167,0.674
535.284,0.674
535.401,0.674
535.517,0.674
535.634,0.674
535.751,0.674
535.868,0.674
535.985,0.674
536.101,0.674
536.218,0.674
536.335,0.673
536.452,0.673
536.569,0.673
536.685,0.673
536.802,0.673
536.919,0.673
537.036,0.673
537.152,0.673
537.269,0.673
537.386,0.673
537.502,0.673
537.619,0.672
537.736,0.672
537.853,0.672
537.969,0.672
538.086,0.672
538.203,0.672
538.319,0.672
538.436,0.672
538.553,0.672
538.669,0.672
538.786,0.672
538.903,0.671
539.019,0.671
539.136,0.671
539.253,0.671
539.369,0.671
539.486,0.671
539.602,0.671
539.719,0.671
539.836,0.671
539.952,0.671
540.069,0.671
540.185,0.67
540.302,0.67
540.419,0.67
540.535,0.67
540.652,0.67
540.768,0.67
540.885,0.67
541.001,0.67
541.118,0.67
541.235,0.67
541.351,0.67
541.468,0.669
541.584,0.669
541.701,0.669
541.817,0.669
541.934,0.669
542.05,0.669
542.167,0.669
542.283,0.669
542.4,0.669
542.516,0.669
542.633,0.669
542.749,0.668
542.866,0.668
542.982,0.668
543.099,0.668
543.215,0.668
543.331,0.668
543.448,0.668
543.564,0.668
543.681,0.668
543.797,0.668
543.914,0.668
544.031,0.667
544.148,0.667
544.265,0.667
544.383,0.667
544.501,0.667
544.619,0.667
544.737,0.667
544.856,0.667
544.975,0.667
545.095,0.667
545.214,0.667
545.334,0.666
545.455,0.666
545.575,0.666
545.696,0.666
545.817,0.666
545.939,0.666
546.061,0.666
546.183,0.666
546.356,0.666
546.479,0.666
546.602,0.666
546.725,0.665
546.848,0.665
546.972,0.665
547.096,0.665
547.22,0.665
547.345,0.665
547.47,0.665
547.595,0.665
547.72,0.665
547.846,0.665
547.972,0.664
548.098,0.664
548.225,0.664
548.352,0.664
548.479,0.664
548.607,0.664
548.735,0.664
548.863,0.664
548.992,0.664
549.121,0.664
549.25,0.663
549.38,0.663
549.509,0.663
549.639,0.663
549.77,0.663
549.9,0.663
550.031,0.663
550.162,0.663
550.293,0.663
550.425,0.663
550.557,0.663
550.689,0.662
550.822,0.662
550.996,0.662
551.129,0.662
551.263,0.662
551.397,0.662
551.531,0.662
551.666,0.662
551.801,0.662
551.937,0.661
552.072,0.661
552.208,0.661
552.345,0.661
552.481,0.661
552.618,0.661
552.755,0.661
552.892,0.661
553.03,0.661
553.168,0.661
553.306,0.66
553.444,0.66
553.583,0.66
553.722,0.66
553.861,0.66
554.001,0.66
554.141,0.66
554.281,0.66
554.422,0.66
554.562,0.66
554.704,0.659
554.845,0.659
554.987,0.659
555.129,0.659
555.272,0.659
555.414,0.659
555.617,0.659
555.759,0.659
555.898,0.659
